Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TACR2","Tachykinin Receptor 2","Protein Coding","P21452","54","GC10M069403","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR2"
"TARS1","Threonyl-TRNA Synthetase 1","Protein Coding","P26639","54","GC05P033546","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS1"
"TMSB4X","Thymosin Beta 4 X-Linked","Protein Coding","P62328","54","GC0XP012975","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB4X"
"TPX2","TPX2 Microtubule Nucleation Factor","Protein Coding","Q9ULW0","54","GC20P031739","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPX2"
"UCHL3","Ubiquitin C-Terminal Hydrolase L3","Protein Coding","P15374","54","GC13P075579","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL3"
"ZDHHC9","Zinc Finger DHHC-Type Palmitoyltransferase 9","Protein Coding","Q9Y397","54","GC0XM129803","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC9"
"A4GALT","Alpha 1,4-Galactosyltransferase (P1PK Blood Group)","Protein Coding","Q9NPC4","53","GC22M042692","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A4GALT"
"ACTR3","Actin Related Protein 3","Protein Coding","P61158","53","GC02P113889","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR3"
"BCAP31","B Cell Receptor Associated Protein 31","Protein Coding","P51572","53","GC0XM153701","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAP31"
"BCL9","BCL9 Transcription Coactivator","Protein Coding","O00512","53","GC01P147541","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9"
"CEACAM6","CEA Cell Adhesion Molecule 6","Protein Coding","P40199","53","GC19P041750","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM6"
"CNTN4","Contactin 4","Protein Coding","Q8IWV2","53","GC03P002117","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN4"
"DDX17","DEAD-Box Helicase 17","Protein Coding","Q92841","53","GC22M038483","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX17"
"DIAPH2","Diaphanous Related Formin 2","Protein Coding","O60879","53","GC0XP096684","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIAPH2"
"DYNLL1","Dynein Light Chain LC8-Type 1","Protein Coding","P63167","53","GC12P120469","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL1"
"GNA12","G Protein Subunit Alpha 12","Protein Coding","Q03113","53","GC07M003737","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA12"
"GTF2E2","General Transcription Factor IIE Subunit 2","Protein Coding","P29084","53","GC08M030578","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2E2"
"HPS1","HPS1 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 1","Protein Coding","Q92902","53","GC10M098410","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS1"
"METTL3","Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit","Protein Coding","Q86U44","53","GC14M021498","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3"
"PDIA4","Protein Disulfide Isomerase Family A Member 4","Protein Coding","P13667","53","GC07M149003","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA4"
"PPP2R2C","Protein Phosphatase 2 Regulatory Subunit Bgamma","Protein Coding","Q9Y2T4","53","GC04M006322","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R2C"
"PPP6C","Protein Phosphatase 6 Catalytic Subunit","Protein Coding","O00743","53","GC09M125212","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP6C"
"PRDX4","Peroxiredoxin 4","Protein Coding","Q13162","53","GC0XP023665","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX4"
"PRKX","Protein Kinase CAMP-Dependent X-Linked Catalytic Subunit","Protein Coding","P51817","53","GC0XM003604","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKX"
"PTN","Pleiotrophin","Protein Coding","P21246","53","GC07M137227","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTN"
"RAB1A","RAB1A, Member RAS Oncogene Family","Protein Coding","P62820","53","GC02M065097","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1A"
"RAB2A","RAB2A, Member RAS Oncogene Family","Protein Coding","P61019","53","GC08P060516","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB2A"
"RPS16","Ribosomal Protein S16","Protein Coding","P62249","53","GC19M039433","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16"
"SF3B3","Splicing Factor 3b Subunit 3","Protein Coding","Q15393","53","GC16P070523","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B3"
"SGO1","Shugoshin 1","Protein Coding","Q5FBB7","53","GC03M027517","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGO1"
"SH3GL2","SH3 Domain Containing GRB2 Like 2, Endophilin A1","Protein Coding","Q99962","53","GC09P017569","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GL2"
"SLC7A1","Solute Carrier Family 7 Member 1","Protein Coding","P30825","53","GC13M029509","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A1"
"SRPX2","Sushi Repeat Containing Protein X-Linked 2","Protein Coding","O60687","53","GC0XP100648","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPX2"
"STC1","Stanniocalcin 1","Protein Coding","P52823","53","GC08M023841","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC1"
"ACR","Acrosin","Protein Coding","P10323","52","GC22P050738","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACR"
"ADARB2","Adenosine Deaminase RNA Specific B2 (Inactive)","Protein Coding","Q9NS39","52","GC10M001286","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADARB2"
"ADCY4","Adenylate Cyclase 4","Protein Coding","Q8NFM4","52","GC14M024318","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY4"
"ARID5B","AT-Rich Interaction Domain 5B","Protein Coding","Q14865","52","GC10P061901","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID5B"
"ASCC1","Activating Signal Cointegrator 1 Complex Subunit 1","Protein Coding","Q8N9N2","52","GC10M072096","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASCC1"
"BRD1","Bromodomain Containing 1","Protein Coding","O95696","52","GC22M049773","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD1"
"BSND","Barttin CLCNK Type Accessory Subunit Beta","Protein Coding","Q8WZ55","52","GC01P054998","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSND"
"CACNB3","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 3","Protein Coding","P54284","52","GC12P048813","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB3"
"CCN1","Cellular Communication Network Factor 1","Protein Coding","O00622","52","GC01P085585","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1"
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","Q5VV42","52","GC06P020534","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"CMPK1","Cytidine/Uridine Monophosphate Kinase 1","Protein Coding","P30085","52","GC01P047333","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMPK1"
"COMMD1","Copper Metabolism Domain Containing 1","Protein Coding","Q8N668","52","GC02P061888","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMMD1"
"EPB41L3","Erythrocyte Membrane Protein Band 4.1 Like 3","Protein Coding","Q9Y2J2","52","GC18M005392","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L3"
"EXOC4","Exocyst Complex Component 4","Protein Coding","Q96A65","52","GC07P133253","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC4"
"FKTN","Fukutin","Protein Coding","O75072","52","GC09P105558","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKTN"
"GPR143","G Protein-Coupled Receptor 143","Protein Coding","P51810","52","GC0XM009725","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR143"
"H2AZ1","H2A.Z Variant Histone 1","Protein Coding","P0C0S5","52","GC04M099949","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AZ1"
"HAPLN1","Hyaluronan And Proteoglycan Link Protein 1","Protein Coding","P10915","52","GC05M083637","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAPLN1"
"HIP1R","Huntingtin Interacting Protein 1 Related","Protein Coding","O75146","52","GC12P122834","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIP1R"
"IQSEC2","IQ Motif And Sec7 Domain ArfGEF 2","Protein Coding","Q5JU85","52","GC0XM053225","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQSEC2"
"ITPKA","Inositol-Trisphosphate 3-Kinase A","Protein Coding","P23677","52","GC15P041493","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPKA"
"KEL","Kell Metallo-Endopeptidase (Kell Blood Group)","Protein Coding","P23276","52","GC07M143136","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEL"
"KIF4A","Kinesin Family Member 4A","Protein Coding","O95239","52","GC0XP070290","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF4A"
"LARP7","La Ribonucleoprotein 7, Transcriptional Regulator","Protein Coding","Q4G0J3","52","GC04P112674","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP7"
"LEFTY1","Left-Right Determination Factor 1","Protein Coding","O75610","52","GC01M227115","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEFTY1"
"MKS1","MKS Transition Zone Complex Subunit 1","Protein Coding","Q9NXB0","52","GC17M058205","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKS1"
"MOV10","Mov10 RNA Helicase","Protein Coding","Q9HCE1","52","GC01P112673","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOV10"
"MT3","Metallothionein 3","Protein Coding","P25713","52","GC16P056589","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT3"
"NEU2","Neuraminidase 2","Protein Coding","Q9Y3R4","52","GC02P233032","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEU2"
"OPN1SW","Opsin 1, Short Wave Sensitive","Protein Coding","P03999","52","GC07M128772","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPN1SW"
"PRDM2","PR/SET Domain 2","Protein Coding","Q13029","52","GC01P013700","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM2"
"QPRT","Quinolinate Phosphoribosyltransferase","Protein Coding","Q15274","52","GC16P104898","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QPRT"
"RAP1GDS1","Rap1 GTPase-GDP Dissociation Stimulator 1","Protein Coding","P52306","52","GC04P098261","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1GDS1"
"RPL7A","Ribosomal Protein L7a","Protein Coding","P62424","52","GC09P133348","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7A"
"RPS13","Ribosomal Protein S13","Protein Coding","P62277","52","GC11M018011","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS13"
"RPS23","Ribosomal Protein S23","Protein Coding","P62266","52","GC05M082273","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS23"
"SF3B2","Splicing Factor 3b Subunit 2","Protein Coding","Q13435","52","GC11P066050","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B2"
"SLC4A5","Solute Carrier Family 4 Member 5","Protein Coding","Q9BY07","52","GC02M074217","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A5"
"SPEN","Spen Family Transcriptional Repressor","Protein Coding","Q96T58","52","GC01P060578","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPEN"
"SRCAP","Snf2 Related CREBBP Activator Protein","Protein Coding","Q6ZRS2","52","GC16P104980","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRCAP"
"TNNI1","Troponin I1, Slow Skeletal Type","Protein Coding","P19237","52","GC01M201404","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI1"
"UBQLN4","Ubiquilin 4","Protein Coding","Q9NRR5","52","GC01M165157","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN4"
"ABCE1","ATP Binding Cassette Subfamily E Member 1","Protein Coding","P61221","51","GC04P145097","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCE1"
"ALYREF","Aly/REF Export Factor","Protein Coding","Q86V81","51","GC17M081887","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALYREF"
"ANGPT4","Angiopoietin 4","Protein Coding","Q9Y264","51","GC20M000869","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT4"
"AZIN2","Antizyme Inhibitor 2","Protein Coding","Q96A70","51","GC01P033081","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZIN2"
"CAPZA1","Capping Actin Protein Of Muscle Z-Line Subunit Alpha 1","Protein Coding","P52907","51","GC01P112619","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZA1"
"CCT4","Chaperonin Containing TCP1 Subunit 4","Protein Coding","P50991","51","GC02M061868","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT4"
"COG4","Component Of Oligomeric Golgi Complex 4","Protein Coding","Q9H9E3","51","GC16M073853","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG4"
"CPQ","Carboxypeptidase Q","Protein Coding","Q9Y646","51","GC08P096645","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPQ"
"DDX10","DEAD-Box Helicase 10","Protein Coding","Q13206","51","GC11P108665","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX10"
"DYNC2H1","Dynein Cytoplasmic 2 Heavy Chain 1","Protein Coding","Q8NCM8","51","GC11P103109","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC2H1"
"FLOT2","Flotillin 2","Protein Coding","Q14254","51","GC17M088845","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLOT2"
"GABRG1","Gamma-Aminobutyric Acid Type A Receptor Subunit Gamma1","Protein Coding","Q8N1C3","51","GC04M046035","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG1"
"GEMIN2","Gem Nuclear Organelle Associated Protein 2","Protein Coding","O14893","51","GC14P039114","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN2"
"GPM6A","Glycoprotein M6A","Protein Coding","P51674","51","GC04M175632","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPM6A"
"HPR","Haptoglobin-Related Protein","Protein Coding","P00739","51","GC16P106130","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPR"
"KCNIP3","Potassium Voltage-Gated Channel Interacting Protein 3","Protein Coding","Q9Y2W7","51","GC02P098370","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNIP3"
"KLF7","KLF Transcription Factor 7","Protein Coding","O75840","51","GC02M207074","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF7"
"LAMP3","Lysosomal Associated Membrane Protein 3","Protein Coding","Q9UQV4","51","GC03M183122","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP3"
"LSM4","LSM4 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated","Protein Coding","Q9Y4Z0","51","GC19M018306","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM4"
"MEOX2","Mesenchyme Homeobox 2","Protein Coding","P50222","51","GC07M015617","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEOX2"
"NOP2","NOP2 Nucleolar Protein","Protein Coding","P46087","51","GC12M006556","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP2"
"NPSR1","Neuropeptide S Receptor 1","Protein Coding","Q6W5P4","51","GC07P034658","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPSR1"
"NUMBL","NUMB Like Endocytic Adaptor Protein","Protein Coding","Q9Y6R0","51","GC19M040665","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMBL"
"PPIE","Peptidylprolyl Isomerase E","Protein Coding","Q9UNP9","51","GC01P039692","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIE"
"PPP2CB","Protein Phosphatase 2 Catalytic Subunit Beta","Protein Coding","P62714","51","GC08M030951","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CB"
"RBP1","Retinol Binding Protein 1","Protein Coding","P09455","51","GC03M139517","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP1"
"RPLP2","Ribosomal Protein Lateral Stalk Subunit P2","Protein Coding","P05387","51","GC11P014061","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP2"
"SLC24A5","Solute Carrier Family 24 Member 5","Protein Coding","Q71RS6","51","GC15P048120","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A5"
"SNRPD1","Small Nuclear Ribonucleoprotein D1 Polypeptide","Protein Coding","P62314","51","GC18P021612","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD1"
"SRSF3","Serine And Arginine Rich Splicing Factor 3","Protein Coding","P84103","51","GC06P156444","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF3"
"STRAP","Serine/Threonine Kinase Receptor Associated Protein","Protein Coding","Q9Y3F4","51","GC12P015882","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRAP"
"SYNCRIP","Synaptotagmin Binding Cytoplasmic RNA Interacting Protein","Protein Coding","O60506","51","GC06M085607","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNCRIP"
"CAPZB","Capping Actin Protein Of Muscle Z-Line Subunit Beta","Protein Coding","P47756","50","GC01M020365","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZB"
"CDCP1","CUB Domain Containing Protein 1","Protein Coding","Q9H5V8","50","GC03M045082","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCP1"
"GPR101","G Protein-Coupled Receptor 101","Protein Coding","Q96P66","50","GC0XM137030","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR101"
"MLLT3","MLLT3 Super Elongation Complex Subunit","Protein Coding","P42568","50","GC09M020341","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT3"
"NELL1","Neural EGFL Like 1","Protein Coding","Q92832","50","GC11P020669","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELL1"
"NUP188","Nucleoporin 188","Protein Coding","Q5SRE5","50","GC09P128947","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP188"
"PCMT1","Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase","Protein Coding","P22061","50","GC06P149749","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCMT1"
"PELP1","Proline, Glutamate And Leucine Rich Protein 1","Protein Coding","Q8IZL8","50","GC17M004669","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PELP1"
"PLAG1","PLAG1 Zinc Finger","Protein Coding","Q6DJT9","50","GC08M056710","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAG1"
"POLR1B","RNA Polymerase I Subunit B","Protein Coding","Q9H9Y6","50","GC02P148576","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1B"
"PRDM14","PR/SET Domain 14","Protein Coding","Q9GZV8","50","GC08M070051","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM14"
"RCN2","Reticulocalbin 2","Protein Coding","Q14257","50","GC15P076931","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCN2"
"RPL12","Ribosomal Protein L12","Protein Coding","P30050","50","GC09M127447","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL12"
"RPS3A","Ribosomal Protein S3A","Protein Coding","P61247","50","GC04P151099","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3A"
"SLC26A1","Solute Carrier Family 26 Member 1","Protein Coding","Q9H2B4","50","GC04M005648","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A1"
"SNRPD2","Small Nuclear Ribonucleoprotein D2 Polypeptide","Protein Coding","P62316","50","GC19M101142","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD2"
"SSRP1","Structure Specific Recognition Protein 1","Protein Coding","Q08945","50","GC11M132526","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSRP1"
"TET1","Tet Methylcytosine Dioxygenase 1","Protein Coding","Q8NFU7","50","GC10P068560","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET1"
"TFDP2","Transcription Factor Dp-2","Protein Coding","Q14188","50","GC03M141944","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFDP2"
"TIAM2","TIAM Rac1 Associated GEF 2","Protein Coding","Q8IVF5","50","GC06P154832","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIAM2"
"TLX1","T Cell Leukemia Homeobox 1","Protein Coding","P31314","50","GC10P116458","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLX1"
"TP53BP2","Tumor Protein P53 Binding Protein 2","Protein Coding","Q13625","50","GC01M223779","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53BP2"
"UBE2H","Ubiquitin Conjugating Enzyme E2 H","Protein Coding","P62256","50","GC07M129830","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2H"
"USP6","Ubiquitin Specific Peptidase 6","Protein Coding","P35125","50","GC17P005116","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP6"
"YTHDC2","YTH N6-Methyladenosine RNA Binding Protein C2","Protein Coding","Q9H6S0","50","GC05P113513","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YTHDC2"
"ADAM33","ADAM Metallopeptidase Domain 33","Protein Coding","Q9BZ11","49","GC20M004253","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM33"
"ANAPC10","Anaphase Promoting Complex Subunit 10","Protein Coding","Q9UM13","49","GC04M144831","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC10"
"ASXL2","ASXL Transcriptional Regulator 2","Protein Coding","Q76L83","49","GC02M025733","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASXL2"
"ATP11C","ATPase Phospholipid Transporting 11C","Protein Coding","Q8NB49","49","GC0XM139726","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP11C"
"ATP6V1D","ATPase H+ Transporting V1 Subunit D","Protein Coding","Q9Y5K8","49","GC14M067294","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1D"
"C1D","C1D Nuclear Receptor Corepressor","Protein Coding","Q13901","49","GC02M068041","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1D"
"CCAR2","Cell Cycle And Apoptosis Regulator 2","Protein Coding","Q8N163","49","GC08P022604","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR2"
"CSN3","Casein Kappa","Protein Coding","P07498","49","GC04P070242","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN3"
"DDO","D-Aspartate Oxidase","Protein Coding","Q99489","49","GC06M110391","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDO"
"DNPEP","Aspartyl Aminopeptidase","Protein Coding","Q9ULA0","49","GC02M219373","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNPEP"
"FAM50A","Family With Sequence Similarity 50 Member A","Protein Coding","Q14320","49","GC0XP154982","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM50A"
"KLHL1","Kelch Like Family Member 1","Protein Coding","Q9NR64","49","GC13M069700","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL1"
"LAS1L","LAS1 Like Ribosome Biogenesis Factor","Protein Coding","Q9Y4W2","49","GC0XM065440","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAS1L"
"LZTS1","Leucine Zipper Tumor Suppressor 1","Protein Coding","Q9Y250","49","GC08M020246","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTS1"
"MED4","Mediator Complex Subunit 4","Protein Coding","Q9NPJ6","49","GC13M048053","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED4"
"NECTIN3","Nectin Cell Adhesion Molecule 3","Protein Coding","Q9NQS3","49","GC03P111071","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NECTIN3"
"NPFFR2","Neuropeptide FF Receptor 2","Protein Coding","Q9Y5X5","49","GC04P072031","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPFFR2"
"THOC1","THO Complex Subunit 1","Protein Coding","Q96FV9","49","GC18M000204","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THOC1"
"TOR2A","Torsin Family 2 Member A","Protein Coding","Q5JU69","49","GC09M130981","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR2A"
"ZC3HAV1","Zinc Finger CCCH-Type Containing, Antiviral 1","Protein Coding","Q7Z2W4","49","GC07M139127","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3HAV1"
"ZFX","Zinc Finger Protein X-Linked","Protein Coding","P17010","49","GC0XP024148","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFX"
"ALKBH8","AlkB Homolog 8, TRNA Methyltransferase","Protein Coding","Q96BT7","48","GC11M107502","0.163307100534439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALKBH8"
