Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TRN-GTT2-1","TRNA-Asn (Anticodon GTT) 2-1","RNA Gene","","13","GC01P170100","1.96264743804932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRN-GTT2-1"
"MIR93","MicroRNA 93","RNA Gene","","30","GC07M106066","1.9547358751297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"NCR3","Natural Cytotoxicity Triggering Receptor 3","Protein Coding","O14931","52","GC06M031588","1.95281422138214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR3"
"ACKR2","Atypical Chemokine Receptor 2","Protein Coding","O00590","51","GC03P042804","1.95115292072296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR2"
"HGF","Hepatocyte Growth Factor","Protein Coding","P14210","65","GC07M081699","1.94808256626129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"GPX4","Glutathione Peroxidase 4","Protein Coding","P36969","59","GC19P001103","1.94760012626648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX4"
"LDLRAP1","Low Density Lipoprotein Receptor Adaptor Protein 1","Protein Coding","Q5SW96","52","GC01P025543","1.94577860832214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLRAP1"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","O96008","52","GC19P044890","1.94487881660461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","1.94406855106354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"MIR223","MicroRNA 223","RNA Gene","","30","GC0XP066018","1.94163978099823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"LINC01194","Long Intergenic Non-Protein Coding RNA 1194","RNA Gene","","26","GC05P012530","1.94078922271729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01194"
"GRIN2A","Glutamate Ionotropic Receptor NMDA Type Subunit 2A","Protein Coding","Q12879","64","GC16M009753","1.93928945064545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2A"
"CCL27","C-C Motif Chemokine Ligand 27","Protein Coding","Q9Y4X3","47","GC09M035512","1.93718731403351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL27"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","P16435","61","GC07P075899","1.9368269443512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"MIR132","MicroRNA 132","RNA Gene","","31","GC17M002049","1.92897498607635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR132"
