Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0.100578902,78 /  0     
Translocator protein,TSPO,P30536,CHEMBL5742,Membrane receptor,0.100578902,258 /  0     
Trace amine-associated receptor 1   (by homology),TAAR1,Q96RJ0,CHEMBL5857,Family A G protein-coupled receptor,0.100578902,154 /  0     
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.100578902,14 /  0     
Cyclooxygenase-1,PTGS1,P23219,CHEMBL221,Oxidoreductase,0.100578902,72 /  0     
Transmembrane domain-containing protein TMIGD3,TMIGD3,P0DMS9,CHEMBL3712907,Unclassified protein,0.100578902,14 /  0     
Heme oxygenase 1   (by homology),HMOX1,P09601,CHEMBL2823,Enzyme,0.100578902,12 /  0     
Formyl peptide receptor 1,FPR1,P21462,CHEMBL3359,Family A G protein-coupled receptor,0.100578902,7 /  0     
Glutathione S-transferase Pi,GSTP1,P09211,CHEMBL3902,Enzyme,0.100578902,4 /  0     
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.100578902,211 /  0     
Melatonin receptor 1A,MTNR1A,P48039,CHEMBL1945,Family A G protein-coupled receptor,0.100578902,344 /  0     
Melatonin receptor 1B,MTNR1B,P49286,CHEMBL1946,Family A G protein-coupled receptor,0.100578902,282 /  0     
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.100578902,37 /  0     
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.100578902,50 /  0     
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.100578902,27 /  0     
Ribosomal protein S6 kinase alpha 2,RPS6KA2,Q15349,CHEMBL3906,Kinase,0.100578902,8 /  0     
Endothelin-converting enzyme 1,ECE1,P42892,CHEMBL4791,Protease,0.100578902,5 /  0     
Quinone reductase 1,NQO1,P15559,CHEMBL3623,Enzyme,0.100578902,4 /  0     
Quinone reductase 2,NQO2,P16083,CHEMBL3959,Enzyme,0.100578902,52 /  0     
Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.100578902,24 /  0     
LXR-alpha,NR1H3,Q13133,CHEMBL2808,Nuclear receptor,0.100578902,9 /  0     
LXR-beta,NR1H2,P55055,CHEMBL4093,Nuclear receptor,0.100578902,8 /  0     
Thrombin,F2,P00734,CHEMBL204,Protease,0.100578902,22 /  0     
Sonic hedgehog protein   (by homology),SHH,Q15465,CHEMBL5602,Unclassified protein,0.100578902,13 /  0     
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0.100578902,129 /  21     
Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,O75874,CHEMBL2007625,Enzyme,0.100578902,132 /  0     
Macrophage-stimulating protein receptor,MST1R,Q04912,CHEMBL2689,Kinase,0.100578902,2 /  0     
Fibroblast growth factor receptor 3,FGFR3,P22607,CHEMBL2742,Kinase,0.100578902,3 /  0     
Tyrosine-protein kinase ZAP-70,ZAP70,P43403,CHEMBL2803,Kinase,0.100578902,2 /  0     
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.100578902,44 /  0     
Tyrosine-protein kinase BMX,BMX,P51813,CHEMBL3834,Kinase,0.100578902,2 /  0     
Tyrosine-protein kinase Lyn,LYN,P07948,CHEMBL3905,Kinase,0.100578902,4 /  0     
Fibroblast growth factor receptor 4,FGFR4,P22455,CHEMBL3973,Kinase,0.100578902,3 /  0     
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.100578902,26 /  0     
Tyrosine-protein kinase FGR,FGR,P09769,CHEMBL4454,Kinase,0.100578902,3 /  0     
Neurotrophic tyrosine kinase receptor type 2,NTRK2,Q16620,CHEMBL4898,Kinase,0.100578902,11 /  0     
Tyrosine-protein kinase receptor Tie-1,TIE1,P35590,CHEMBL5274,Kinase,0.100578902,2 /  0     
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.100578902,2 /  0     
Proto-oncogene tyrosine-protein kinase ROS,ROS1,P08922,CHEMBL5568,Kinase,0.100578902,2 /  0     
NT-3 growth factor receptor,NTRK3,Q16288,CHEMBL5608,Kinase,0.100578902,12 /  0     
Protein arginine N-methyltransferase 3,PRMT3,O60678,CHEMBL5891,Writer,0.100578902,10 /  0     
Cathepsin K,CTSK,P43235,CHEMBL268,Protease,0.100578902,189 /  0     
Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.100578902,37 /  0     
Proteinase-activated receptor 1,F2R,P25116,CHEMBL3974,Family A G protein-coupled receptor,0.100578902,24 /  0     
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.100578902,5 /  0     
Serotonin 3a (5-HT3a) receptor,HTR3A,P46098,CHEMBL1899,Ligand-gated ion channel,0.100578902,8 /  0     
Monoglyceride lipase,MGLL,Q99685,CHEMBL4191,Enzyme,0.100578902,42 /  0     
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.100578902,189 /  16     
Cyclin-dependent kinase 7/ cyclin H,CDK7 CCNH,P50613 P51946,CHEMBL2111288,Other cytosolic protein,0.100578902,1 /  0     
C-C chemokine receptor type 4,CCR4,P51679,CHEMBL2414,Family A G protein-coupled receptor,0.100578902,7 /  0     
Regulator of G-protein signaling 4,RGS4,P49798,CHEMBL1795091,Unclassified protein,0.100578902,22 /  0     
Dual specificity phosphatase Cdc25A,CDC25A,P30304,CHEMBL3775,Phosphatase,0.100578902,5 /  0     
Hexokinase type IV,GCK,P35557,CHEMBL3820,Enzyme,0.100578902,40 /  0     
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.100578902,63 /  0     
Hormone sensitive lipase,LIPE,Q05469,CHEMBL3590,Enzyme,0.100578902,44 /  0     
ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.100578902,20 /  0     
"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,O15382,CHEMBL3616354,Transferase,0.100578902,20 /  0     
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.100578902,84 /  19     
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.100578902,109 /  0     
