Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
Serine/threonine-protein kinase TAO3,TAOK3,Q9H2K8,CHEMBL5701,Kinase,0.110612204,30 /  0     
Nucleotide-binding oligomerization domain-containing protein 1,NOD1,Q9Y239,CHEMBL1293222,Unclassified protein,0.110612204,16 /  0     
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.110612204,265 /  0     
G-protein coupled receptor kinase 2,GRK2,P25098,CHEMBL4079,Kinase,0.110612204,66 /  0     
Purinergic receptor P2Y12,P2RY12,Q9H244,CHEMBL2001,Family A G protein-coupled receptor,0.110612204,34 /  0     
Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0.110612204,66 /  0     
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,DYRK1A,Q13627,CHEMBL2292,Kinase,0.110612204,126 /  0     
Heparanase,HPSE,Q9Y251,CHEMBL3921,Enzyme,0.110612204,12 /  0     
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.110612204,334 /  0     
Translocator protein   (by homology),TSPO,P30536,CHEMBL5742,Membrane receptor,0.110612204,396 /  0     
Probable protein-cysteine N-palmitoyltransferase porcupine   (by homology),PORCN,Q9H237,CHEMBL1255163,Enzyme,0.110612204,53 /  0     
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.110612204,208 /  0     
Serine/threonine-protein kinase Aurora-C,AURKC,Q9UQB9,CHEMBL3935,Kinase,0.110612204,8 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.110612204,304 /  0     
Cytochrome P450 26A1,CYP26A1,O43174,CHEMBL5141,Cytochrome P450,0.110612204,52 /  0     
Neprilysin   (by homology),MME,P08473,CHEMBL1944,Protease,0.110612204,10 /  0     
Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.110612204,119 /  105     
Melatonin receptor 1A,MTNR1A,P48039,CHEMBL1945,Family A G protein-coupled receptor,0.110612204,485 /  0     
Thyroid stimulating hormone receptor,TSHR,P16473,CHEMBL1963,Family A G protein-coupled receptor,0.110612204,5 /  0     
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.110612204,38 /  0     
Phosphodiesterase 7A,PDE7A,Q13946,CHEMBL3012,Phosphodiesterase,0.110612204,83 /  0     
Aurora kinase B/Inner centromere protein,INCENP AURKB,Q9NQS7 Q96GD4,CHEMBL3430907,Kinase,0.110612204,12 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.110612204,556 /  0     
Lipoxin A4 receptor,FPR2,P25090,CHEMBL4227,Family A G protein-coupled receptor,0.110612204,35 /  0     
Kinesin-like protein 1,KIF11,P52732,CHEMBL4581,Other cytosolic protein,0.110612204,65 /  0     
LIM domain kinase 2,LIMK2,P53671,CHEMBL5932,Kinase,0.110612204,70 /  21     
Corticotropin releasing factor receptor 1,CRHR1,P34998,CHEMBL1800,Family B G protein-coupled receptor,0.110612204,320 /  0     
Serine/threonine-protein kinase RAF,RAF1,P04049,CHEMBL1906,Kinase,0.110612204,110 /  0     
Melatonin receptor 1B,MTNR1B,P49286,CHEMBL1946,Family A G protein-coupled receptor,0.110612204,443 /  0     
Tyrosine-protein kinase YES,YES1,P07947,CHEMBL2073,Kinase,0.110612204,17 /  0     
Lysosomal Pro-X carboxypeptidase,PRCP,P42785,CHEMBL2335,Protease,0.110612204,32 /  0     
Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP,PTPN22,Q9Y2R2,CHEMBL2889,Phosphatase,0.110612204,5 /  0     
Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.110612204,237 /  0     
Angiotensin II receptor,AGTR2,P50052,CHEMBL4607,Family A G protein-coupled receptor,0.110612204,31 /  0     
Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.110612204,71 /  0     
Proteasome Macropain subunit MB1,PSMB5,P28074,CHEMBL4662,Protease,0.110612204,71 /  0     
Transitional endoplasmic reticulum ATPase,VCP,P55072,CHEMBL1075145,Primary active transporter,0.110612204,55 /  0     
Phosphodiesterase 11A,PDE11A,Q9HCR9,CHEMBL2717,Phosphodiesterase,0.110612204,15 /  0     
Calcitonin gene-related peptide type 1 receptor,CALCRL,Q16602,CHEMBL3798,Family B G protein-coupled receptor,0.110612204,114 /  0     
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0.110612204,68 /  0     
Transient receptor potential cation channel subfamily A member 1,TRPA1,O75762,CHEMBL6007,Voltage-gated ion channel,0.110612204,34 /  0     
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.110612204,217 /  0     
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.110612204,46 /  0     
Elongation of very long chain fatty acids protein 3,ELOVL3,Q9HB03,CHEMBL5791,Enzyme,0.110612204,1 /  0     
"Glutaminase kidney isoform, mitochondrial",GLS,O94925,CHEMBL2146302,Enzyme,0.110612204,11 /  0     
Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,0.110612204,63 /  0     
Mitogen-activated protein kinase kinase kinase 8,MAP3K8,P41279,CHEMBL4899,Kinase,0.110612204,50 /  0     
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.110612204,5 /  0     
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.110612204,7 /  0     
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.110612204,229 /  0     
Hexokinase type IV,GCK,P35557,CHEMBL3820,Enzyme,0.110612204,171 /  0     
Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0.110612204,200 /  0     
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.110612204,80 /  0     
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.110612204,175 /  0     
Glucose transporter,SLC2A1,P11166,CHEMBL2535,Electrochemical transporter,0.110612204,39 /  0     
Peregrin,BRPF1,P55201,CHEMBL3132741,Reader,0.110612204,38 /  0     
Cathepsin G,CTSG,P08311,CHEMBL4071,Protease,0.110612204,26 /  0     
Beta-chymotrypsin,CTRB1,P17538,CHEMBL4796,Protease,0.110612204,21 /  0     
"Solute carrier family 2, facilitated glucose transporter member 3",SLC2A3,P11169,CHEMBL5215,Electrochemical transporter,0.110612204,36 /  0     
Thrombin,F2,P00734,CHEMBL204,Protease,0.106542926,345 /  0     
Cyclin-dependent kinase 9,CDK9,P50750,CHEMBL3116,Kinase,0.106542926,95 /  0     
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.106542926,45 /  0     
DNA-directed RNA polymerase I subunit RPA1,POLR1A,O95602,CHEMBL3286067,Enzyme,0.106542926,2 /  0     
Integrin alpha-V/beta-3,ITGAV ITGB3,P06756 P05106,CHEMBL1907598,Membrane receptor,0.106542926,9 /  0     
Neurokinin 1 receptor,TACR1,P25103,CHEMBL249,Family A G protein-coupled receptor,0.106542926,304 /  0     
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.106542926,199 /  0     
Dual specificity protein kinase TTK,TTK,P33981,CHEMBL3983,Kinase,0.106542926,126 /  0     
Glutaminyl-peptide cyclotransferase,QPCT,Q16769,CHEMBL4508,Enzyme,0.106542926,97 /  0     
Vanilloid receptor,TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0.106542926,642 /  0     
Acetyl-CoA carboxylase 2,ACACB,O00763,CHEMBL4829,Ligase,0.106542926,1183 /  0     
Tissue-type plasminogen activator,PLAT,P00750,CHEMBL1873,Protease,0.106542926,21 /  0     
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.106542926,678 /  0     
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.106542926,734 /  0     
"Nitric oxide synthase, inducible",NOS2,P35228,CHEMBL4481,Enzyme,0.106542926,205 /  0     
Leukocyte elastase,ELANE,P08246,CHEMBL248,Protease,0.106542926,223 /  0     
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.106542926,516 /  0     
Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.106542926,57 /  0     
Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0.106542926,130 /  0     
FK506-binding protein 1A,FKBP1A,P62942,CHEMBL1902,Isomerase,0.106542926,189 /  0     
Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5,Q13451,CHEMBL2052031,Enzyme,0.106542926,30 /  0     
Phosphodiesterase 11A,PDE11A,Q9HCR9,CHEMBL2717,Phosphodiesterase,0.106542926,21 /  0     
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.106542926,170 /  0     
Phosphodiesterase 4B,PDE4B,Q07343,CHEMBL275,Phosphodiesterase,0.106542926,420 /  0     
Rho-associated protein kinase 2,ROCK2,O75116,CHEMBL2973,Kinase,0.106542926,298 /  0     
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.106542926,698 /  0     
Toll-like receptor 4,TLR4,O00206,CHEMBL5255,Toll-like and Il-1 receptors,0.106542926,38 /  0     
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.106542926,311 /  103     
"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,P50416,CHEMBL1293194,Enzyme,0.106542926,201 /  0     
Somatostatin receptor 3,SSTR3,P32745,CHEMBL2028,Family A G protein-coupled receptor,0.106542926,65 /  0     
HERG,KCNH2,Q12809,CHEMBL240,Voltage-gated ion channel,0.106542926,500 /  0     
Phosphodiesterase 4A,PDE4A,P27815,CHEMBL254,Phosphodiesterase,0.106542926,237 /  0     
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.106542926,77 /  0     
Oxytocin receptor,OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.106542926,288 /  0     
Phosphodiesterase 3,PDE3A,Q14432,CHEMBL241,Phosphodiesterase,0.106542926,99 /  0     
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.106542926,61 /  0     
Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0.106542926,781 /  0     
Phosphodiesterase 9A,PDE9A,O76083,CHEMBL3535,Phosphodiesterase,0.106542926,52 /  0     
Chymase,CMA1,P23946,CHEMBL4068,Protease,0.106542926,129 /  0     
Phosphodiesterase 1C,PDE1C,Q14123,CHEMBL4619,Phosphodiesterase,0.106542926,13 /  0     
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.106542926,365 /  0     
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.106542926,394 /  0     
Sodium channel protein type V alpha subunit,SCN5A,Q14524,CHEMBL1980,Voltage-gated ion channel,0.106542926,57 /  0     
GABA-A receptor; alpha-3/beta-3/gamma-2,GABRB3 GABRA3 GABRG2,P28472 P34903 P18507,CHEMBL2094120,Ligand-gated ion channel,0.106542926,217 /  0     
GABA-A receptor; alpha-1/beta-3/gamma-2,GABRB3 GABRG2 GABRA1,P28472 P18507 P14867,CHEMBL2094121,Ligand-gated ion channel,0.106542926,171 /  0     
GABA-A receptor; alpha-2/beta-3/gamma-2,GABRA2 GABRB3 GABRG2,P47869 P28472 P18507,CHEMBL2094130,Ligand-gated ion channel,0.106542926,203 /  0     
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.106542926,228 /  0     
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.106542926,267 /  0     
Neuropeptide Y receptor type 5,NPY5R,Q15761,CHEMBL4561,Family A G protein-coupled receptor,0.106542926,492 /  0     
Histone deacetylase 3,HDAC3,O15379,CHEMBL1829,Eraser,0.106542926,140 /  0     
Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0.106542926,308 /  0     
Histone deacetylase 2,HDAC2,Q92769,CHEMBL1937,Eraser,0.106542926,228 /  0     
JAK3/JAK1,JAK3 JAK1,P52333 P23458,CHEMBL3038491,Kinase,0.106542926,31 /  0     
JAK2/JAK1,JAK1 JAK2,P23458 O60674,CHEMBL3038492,Kinase,0.106542926,8 /  0     
Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0.106542926,159 /  0     
Histone deacetylase 11,HDAC11,Q96DB2,CHEMBL3310,Eraser,0.106542926,45 /  0     
Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.106542926,86 /  0     
Histone deacetylase 10,HDAC10,Q969S8,CHEMBL5103,Eraser,0.106542926,51 /  0     
Nuclear receptor ROR-gamma,RORC,P51449,CHEMBL1741186,Nuclear receptor,0.106542926,268 /  0     
Mitogen-activated protein kinase kinase kinase 12,MAP3K12,Q12852,CHEMBL1908389,Enzyme,0.106542926,29 /  0     
Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.106542926,366 /  0     
Heat shock protein HSP 90-alpha,HSP90AA1,P07900,CHEMBL3880,Other cytosolic protein,0.106542926,231 /  0     
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.106542926,541 /  0     
Vascular endothelial growth factor receptor 1,FLT1,P17948,CHEMBL1868,Kinase,0.106542926,221 /  0     
Cathepsin K,CTSK,P43235,CHEMBL268,Protease,0.106542926,646 /  0     
Cytochrome P450 3A4,CYP3A4,P08684,CHEMBL340,Cytochrome P450,0.106542926,39 /  0     
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0.106542926,60 /  0     
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.106542926,197 /  0     
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.106542926,277 /  0     
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.106542926,568 /  0     
Cytochrome P450 1A1   (by homology),CYP1A1,P04798,CHEMBL2231,Cytochrome P450,0.106542926,19 /  0     
Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.106542926,747 /  0     
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.106542926,207 /  0     
Mu opioid receptor,OPRM1,P35372,CHEMBL233,Family A G protein-coupled receptor,0.106542926,242 /  0     
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.106542926,189 /  0     
Poly [ADP-ribose] polymerase 6,PARP6,Q2NL67,CHEMBL2380187,Enzyme,0.106542926,2 /  0     
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.106542926,343 /  0     
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.106542926,488 /  0     
Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0.106542926,275 /  0     
Poly [ADP-ribose] polymerase 3,PARP3,Q9Y6F1,CHEMBL5083,Enzyme,0.106542926,10 /  0     
Poly [ADP-ribose] polymerase 2,PARP2,Q9UGN5,CHEMBL5366,Enzyme,0.106542926,47 /  0     
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYRK1B,Q9Y463,CHEMBL5543,Kinase,0.106542926,85 /  0     
Smoothened homolog,SMO,Q99835,CHEMBL5971,Frizzled family G protein-coupled receptor,0.106542926,244 /  0     
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.106542926,75 /  0     
Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.106542926,98 /  0     
Polyadenylate-binding protein 1,PABPC1,P11940,CHEMBL1293286,Unclassified protein,0.106542926,21 /  0     
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.106542926,177 /  0     
Long-chain fatty acid transport protein 1,SLC27A1,Q6PCB7,CHEMBL2052038,Electrochemical transporter,0.106542926,33 /  0     
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.106542926,678 /  0     
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.106542926,140 /  0     
Anandamide amidohydrolase,FAAH,O00519,CHEMBL2243,Enzyme,0.106542926,489 /  0     
Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.106542926,825 /  0     
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.106542926,825 /  0     
MAP kinase ERK1   (by homology),MAPK3,P27361,CHEMBL3385,Kinase,0.106542926,66 /  0     
Calcitonin gene-related peptide type 1 receptor,CALCRL,Q16602,CHEMBL3798,Family B G protein-coupled receptor,0.106542926,274 /  0     
Hexokinase type IV,GCK,P35557,CHEMBL3820,Enzyme,0.106542926,218 /  0     
Fatty acid synthase,FASN,P49327,CHEMBL4158,Transferase,0.106542926,157 /  0     
MAP kinase-interacting serine/threonine-protein kinase MNK1,MKNK1,Q9BUB5,CHEMBL4718,Kinase,0.106542926,26 /  0     
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.106542926,299 /  0     
Bromodomain-containing protein 2,BRD2,P25440,CHEMBL1293289,Reader,0.106542926,155 /  0     
Basic fibroblast growth factor,FGF2,P09038,CHEMBL3107,Secreted protein,0.057783878,0 /  6     
Myelin-associated glycoprotein,MAG,P20916,CHEMBL5807,Unclassified protein,0.057783878,0 /  23     
Maltase-glucoamylase,MGAM,O43451,CHEMBL2074,Hydrolase,0.057783878,0 /  7     
Sucrase-isomaltase,SI,P14410,CHEMBL2748,Enzyme,0.057783878,0 /  8     
Galectin-4,LGALS4,P56470,CHEMBL1671608,Other cytosolic protein,0.057783878,2 /  3     
Galectin-3,LGALS3,P17931,CHEMBL4531,Other cytosolic protein,0.057783878,2 /  9     
Galectin-8,LGALS8,O00214,CHEMBL5475,Other cytosolic protein,0.057783878,2 /  3     
Selectin E,SELE,P16581,CHEMBL3890,Adhesion,0.057783878,4 /  4     
Leukocyte adhesion molecule-1,SELL,P14151,CHEMBL3161,Adhesion,0.057783878,9 /  12     
P-selectin,SELP,P16109,CHEMBL5378,Adhesion,0.057783878,10 /  26     
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0,0 /  7     
Niemann-Pick C1-like protein 1,NPC1L1,Q9UHC9,CHEMBL2027,Other membrane protein,0,0 /  7     
HERG,KCNH2,Q12809,CHEMBL240,Voltage-gated ion channel,0,4 /  3     
Tryptase beta-1,TPSAB1,Q15661,CHEMBL2617,Protease,0,1 /  0     
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0,1 /  0     
Aldehyde dehydrogenase,ALDH2,P05091,CHEMBL1935,Oxidoreductase,0,1 /  0     
Dual specificity protein phosphatase 3,DUSP3,P51452,CHEMBL2635,Phosphatase,0,16 /  0     
Dual specificity phosphatase Cdc25A,CDC25A,P30304,CHEMBL3775,Phosphatase,0,8 /  0     
Dual specificity phosphatase Cdc25B,CDC25B,P30305,CHEMBL4804,Phosphatase,0,15 /  0     
Carnitine palmitoyltransferase 2,CPT2,P23786,CHEMBL3238,Enzyme,0,0 /  1     
"Carnitine O-palmitoyltransferase 1, muscle isoform   (by homology)",CPT1B,Q92523,CHEMBL2216739,Group translocator,0,0 /  1     
"Carnitine O-palmitoyltransferase 1, liver isoform   (by homology)",CPT1A,P50416,CHEMBL1293194,Enzyme,0,0 /  1     
Somatostatin receptor 5,SSTR5,P35346,CHEMBL1792,Family A G protein-coupled receptor,0,0 /  11     
Somatostatin receptor 2,SSTR2,P30874,CHEMBL1804,Family A G protein-coupled receptor,0,0 /  4     
Somatostatin receptor 4,SSTR4,P31391,CHEMBL1853,Family A G protein-coupled receptor,0,0 /  2     
Somatostatin receptor 1,SSTR1,P30872,CHEMBL1917,Family A G protein-coupled receptor,0,0 /  2     
Somatostatin receptor 3,SSTR3,P32745,CHEMBL2028,Family A G protein-coupled receptor,0,0 /  6     
P47929,LGALS7,P47929,CHEMBL5008,Other cytosolic protein,0,0 /  1     
Phospholipase A2 group IIC,PLA2G2C,Q5R387,CHEMBL2097,Enzyme,0,0 /  3     
Bile salt export pump,ABCB11,O95342,CHEMBL6020,Primary active transporter,0,0 /  1     
FK506-binding protein 1A,FKBP1A,P62942,CHEMBL1902,Isomerase,0,0 /  98     
Beta-galactosidase,GLB1,P16278,CHEMBL2522,Hydrolase,0,1 /  0     
Vascular endothelial growth factor A,VEGFA,P15692,CHEMBL1783,Secreted protein,0,0 /  2     
Acidic fibroblast growth factor,FGF1,P05230,CHEMBL2120,Secreted protein,0,0 /  3     
Heparanase,HPSE,Q9Y251,CHEMBL3921,Enzyme,0,0 /  2     
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0,3 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0,3 /  0     
Polyadenylate-binding protein 1,PABPC1,P11940,CHEMBL1293286,Unclassified protein,0,0 /  2     
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0,3 /  0     
Autotaxin,ENPP2,Q13822,CHEMBL3691,Enzyme,0,9 /  0     
Growth factor receptor-bound protein 2,GRB2,P62993,CHEMBL3663,Other cytosolic protein,0,2 /  0     
Sn1-specific diacylglycerol lipase alpha,DAGLA,Q9Y4D2,CHEMBL5545,Enzyme,0,0 /  11     
Motilin receptor,MLNR,O43193,CHEMBL2203,Family A G protein-coupled receptor,0,0 /  7     
Lysophosphatidic acid receptor Edg-7,LPAR3,Q9UBY5,CHEMBL3250,Family A G protein-coupled receptor,0,1 /  0     
Nucleotide-binding oligomerization domain-containing protein 2,NOD2,Q9HC29,CHEMBL1293266,Unclassified protein,0,0 /  1     
Cyclophilin A,PPIA,P62937,CHEMBL1949,Isomerase,0,2 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0,2 /  0     
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0,1 /  0     
Vanilloid receptor,TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0,0 /  1     
Serine/threonine-protein kinase AKT2,AKT2,P31751,CHEMBL2431,Kinase,0,3 /  0     
Cholecystokinin B receptor,CCKBR,P32239,CHEMBL298,Family A G protein-coupled receptor,0,2 /  0     
Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0,3 /  0     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0,1 /  0     
Acyl coenzyme A:cholesterol acyltransferase 1,SOAT1,P35610,CHEMBL2782,Enzyme,0,0 /  1     
Integrin alpha-4,ITGA4,P13612,CHEMBL278,Membrane receptor,0,1 /  0     
Transient receptor potential cation channel subfamily V member 4   (by homology),TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0,3 /  0     
6-O-methylguanine-DNA methyltransferase,MGMT,P16455,CHEMBL2864,Enzyme,0,2 /  0     
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0,1 /  0     
CD22,CD22,P20273,CHEMBL3218,Adhesion,0,0 /  19     
Thyroid hormone receptor alpha,THRA,P10827,CHEMBL1860,Nuclear receptor,0,1 /  0     
Thyroid hormone receptor beta-1,THRB,P10828,CHEMBL1947,Nuclear receptor,0,1 /  0     
Endothelin-converting enzyme 1,ECE1,P42892,CHEMBL4791,Protease,0,1 /  0     
G-protein coupled receptor 55,GPR55,Q9Y2T6,CHEMBL1075322,Family A G protein-coupled receptor,0,1 /  0     
Pancreatic alpha-amylase,AMY2A,P04746,CHEMBL2045,Hydrolase,0,0 /  5     
AMY1C,AMY1A,P04745,CHEMBL2478,Enzyme,0,0 /  2     
Lysosomal alpha-glucosidase,GAA,P10253,CHEMBL2608,Hydrolase,0,0 /  7     
Sigma opioid receptor,SIGMAR1,Q99720,CHEMBL287,Membrane receptor,0,1 /  0     
Serotonin 2b (5-HT2b) receptor,HTR2B,P41595,CHEMBL1833,Family A G protein-coupled receptor,0,0 /  1     
Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0,0 /  1     
Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0,0 /  1     
Alpha-2b adrenergic receptor,ADRA2B,P18089,CHEMBL1942,Family A G protein-coupled receptor,0,0 /  1     
Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0,0 /  1     
Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0,0 /  2     
Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0,0 /  1     
Serotonin 2c (5-HT2c) receptor,HTR2C,P28335,CHEMBL225,Family A G protein-coupled receptor,0,0 /  1     
Alpha-1a adrenergic receptor   (by homology),ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0,0 /  3     
Dopamine D3 receptor,DRD3,P35462,CHEMBL234,Family A G protein-coupled receptor,0,0 /  1     
Cytochrome P450 2D6,CYP2D6,P10635,CHEMBL289,Cytochrome P450,0,0 /  1     
Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0,0 /  1     
Serotonin 1b (5-HT1b) receptor   (by homology),HTR1B,P28222,CHEMBL1898,Family A G protein-coupled receptor,0,0 /  1     
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0,0 /  3     
Thromboxane A2 receptor,TBXA2R,P21731,CHEMBL2069,Family A G protein-coupled receptor,0,1 /  0     
Phosphodiesterase 4B,PDE4B,Q07343,CHEMBL275,Phosphodiesterase,0,1 /  0     
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0,1 /  0     
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0,1 /  0     
Integrin alpha-V/beta-5,ITGB5 ITGAV,P18084 P06756,CHEMBL2096675,Membrane receptor,0,1 /  0     
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0,1 /  5     
Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0,2 /  0     
Monoacylglycerol lipase ABHD6,ABHD6,Q9BV23,CHEMBL2189127,Enzyme,0,0 /  1     
LDL-associated phospholipase A2,PLA2G7,Q13093,CHEMBL3514,Enzyme,0,0 /  1     
Monoacylglycerol lipase ABHD12,ABHD12,Q8N2K0,CHEMBL5516,Enzyme,0,0 /  1     
Sn1-specific diacylglycerol lipase beta,DAGLB,Q8NCG7,CHEMBL5521,Enzyme,0,0 /  1     
Protein BAT5,ABHD16A,O95870,CHEMBL6168,Enzyme,0,0 /  1     
